AFRAFEP SAUDE;"";"330281"
AFRAFEP-SAUDE; 09306242000182;"330281"
Afresp;"";"043063"
AFRESP; 62635990000191 ;"317632"
AFRESP (AO);"67.138.438/0001-01";"317632"
AFRESP (VF);"62.635.990/0001-91";"317632"
AFRESP - Associação dos Agentes Fiscais de Renda do Estado de São Paulo;;"000043"
AFRO-MED; 03235278000136 ;"406988"
AFUSE;"489291450001-06";"000000"
Agemed;"02.933.220/0001-01";"356547"
AGEMED;"02933220000101 ";"339601"
AGEMED SAÚDE SA ;"02.933.220/0001-01";"339601"
Agendaqui;"27,547,442/0001-09";-
AGENDAR SOMENTE PACOTES - PREVENT/TRAS/A;;"000000"
AGETEPOL / SINTELPOL (SIND. TRAB. TELEMÁTICA POLICIAL EST. SP;"111111111111111111";"000000"
AGF;;"5"
AGF;;"999999"
AGF (MOEMA);"04439627000102";"999999"
AGF SA?DE S/A ;?04439627000102 ;"000515"
AGF SAÚDE S/A ;?04439627000102 ;"000515"
AGF SAÚDE S/A; 04439627000102;"000515"
AGMP;"02220135000198 ";"402206"
Agricola jandelle;"74101569/0010-70";"000001"
AGROPECUARIA SHIMOSAKA;;"001020"
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;"20320487000105 ";"368920"
AGTEC COMERCIAL E SERVIÇOS LTDA.;"68357755000181 ";"413879"
AGUANAMBI SAUDE; 41573841000175 ;"300080"
AHLSTRON BRASIL;"00.767.144/0004-10";"000000"
AITE; 06292009000108 ;"415324"
ALAMO;;"37"
ALBA; 14688485000162 ;"402419"
ALBERTO ARAUJO TRANS;;"999999"
ALCAN;;"23"
ALCAST;;"999999"
ALERTA MEDICO;"00303696000125 ";"402478"
ALES - ASSIST?NCIA ODONTOL?GICA ;?68789908000160 ;"407861"
ALES - ASSISTÊNCIA ODONTOLÓGICA; 68789908000160 ;"407861"
ALFADENTE ODONTOLOGIA INTEGRAL;"01174098000166 ";"413593"
ALFAMED; 03095061000178 ;"404381"
ALIANÇA ADMINISTRADORA;"08407581000192 ";"416771"
ALL LIFE; 04015891000100 ;"412899"
ALL SAÚDE;"04043452000101 ";"413305"
ALLIANZ;;"87"
ALLIANZ (CENNTRUM);"04439627000102 ";"000515"
Allianz Alergologia;"04439627000102 ";"000515"
Allianz Dermatologista;"04439627000102 ";"000515"
ALLIANZ REEMBOLSO;"";"000004"
ALLIANZ SAUDE;;"44"
ALLIANZ SAUDE;"04439627000102";"000515"
ALLIANZ SAÚDE;"23065111000181";-
ALLIANZ SAUDE (AGF);"04.439.627/0001-02";"000545"
ALLIANZ SAUDE BASIC;;"45"
ALLIANZ SAÚDE ICORDIS;"";"515"
ALLIANZ SAUDE REEMBO;;"46"
Allianz Saúde S/A;;"000036"
ALLIANZ SAÚDE S/A;"04439627000102";"000515"
ALLIANZ SAÚDE S/A;"04439627000102 ";"000515"
ALLIANZ SAÚDE S/A - Via Hospital;"";"888888"
ALLIANZ SAUDE SA;;"001179"
ALPARGATAS; 61079117000105 ;"411612"
ALPHAMED SISTEMA DE SAUDE; 02195536000135 ;"400939"
Alunos;;"999999"
ALVORECER;"62511019000150 ";"344800"
Alvorecer (VF);"62.511.019/0001-50";"344800"
ALVORECER ASSOCIAÇÃO EM ASSISTENCIA MEDI;"62511019000150";"344800"
ALVORECER SAUDE;;"280279"
AMA;;"101010"
AMA; 56902018000133 ;"357448"
AMA; 94093085000143;"414671"
Ama saúde;"";"000000"
AMA SONAE;;"000001"
AMA THYSSENKRUPP;;"999999"
Amafrerj;"34.011.288/0001-11";-
AMAFRERJ;"34011288000111 ";"387185"
AMAFRESP;"";"043063"
amafresp;"";"254689"
AMAFRESP;"62.635.990/0001-91";"317632"
AMAFRESP - Assoc dos Ag Fis R de SP;"62.635.990/0001-91";"317632"
AMAFRESP ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO;"62.635.990/0001-91";"317632"
AMAGIS;;"84"
AMAGIS;"07.781.345/0001-79";"416690"
AMAGIS; 16634966000110 ;"342998"
AMAGIS SAÚDE;"";"416690"
AMAZONAS DISTRIBUIDORA DE ENERGIA;"";"416894"
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A;"";"416894"
AMB;;"000000"
AMB;;"012345"
AMB;"";"111111"
AMB;"000000000000000000";"000000"
AMBEP;"";"387185"
AMBEP;"27.089.861/0003-06";"000000"
AMBEP - ASSOCIAÇÃO DE MANTENEDORES BENEFICIÁRIOS DA PETROS;"27.089.861/0031-60";"111111"
Ambulatório;"";"120000"
AME ;?17143876000190 ;"304531"
AME ; 17143876000190 ;"304531"
AME SAUDE; 00774317000185 ;"401978"
AME- ASSISTENCIA;"78.146.099/0001-21";"000000"
AME-SISTEMA DE SAÚDE 24 HORAS;"17143876000190 ";"304531"
AMED; 00637500000139;"364916"
AMED; 68694983000147 ;"318221"
AMENO;"03473372000123 ";"409464"
Ameno;"62.707.369/0002-77";"000000"
AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;"04257073000114 ";"413330"
Ameplam Alergologia;"67839969000121 ";"394734"
Ameplam Dermatologista;"67839969000121 ";"394734"
AMEPLAN;;"66"
AMEPLAN ;-;"394734"
AMEPLAN ASSITENCIA MÉDICA PLANEJADA LTDA;"67839969000121 ";"394734"
AMEPLAN ASSITENCIA MeDICA PLANEJADA LTDA. ;?67839969000121 ;"394734"
AMEPLAN ASSITENCIA MÉDICA PLANEJADA LTDA. ; 67839969000121 ;"394734"
AMÉRICA PLANOS DE SAÚDE.;"04800040000179 ";"414450"
AMÉRICA SAUDE;"41009812000185 ";"404047"
AMERICANA SISTEMA ODONTOL?GICO DE SA?DE ;?03674778000174 ;"411388"
AMERICANA SISTEMA ODONTOLÓGICO DE SAÚDE; 03674778000174 ;"411388"
AMERICLINICAS S/C LTDA; 60723236000188;"375268"
AMERON;"84638345000165 ";"321338"
AMESP;;"60"
AMESP;;"999999"
AMESP; 02756886000123;"302872"
AMESP; 02756886000123 ;"327107"
AMESP    CPCC;;"999999"
AMESP - NÃO UTILIZAR ESTE CADASTRO;"43358647000100";"302872"
Amesp 1;"02756886000123";"999999"
AMESP SAUDE;;"59"
Amesp Saúde;;"999999"
AMESP SAÚDE; 02756886000123;"302872"
AMESP SISTEMA DE;;"302872"
AMESUL ASSISTENCIA MEDICA ESPECIALIZADA; 03538933000125 ;"412431"
AMGF - PARCERIA;"15.472.413/0001-46";"000000"
AMH; 05351257000101;"415847"
AMHA;"15.131.148/0001-32";"418587"
AMHA ; 52956901000155 ;"329525"
AMHAVRE; 36184695000156 ;"359556"
AMHISA SA?DE ;?19557487000136 ;"310361"
AMHISA SAÚDE;"19557487000136 ";"310361"
AMHO - ASPP;"";"000000"
AMHPDF;"";"000000"
AMHPLA;"74215195000123 ";"333221"
AMI;"12321527000105Â ";"328332"
AMI SAUDE;;"315240"
AMI SAUDE;"";"315240"
AMIC;"78.105.475/0001-30";"000000"
AMIC OESTE;;"000000"
AMIC OESTE ;"";"000000"
AMIL;;"222222"
AMIL;;"304364"
Amil;"";"326305"
Amil;"";"9999"
AMIL ;"29.309.127/0001-79";"326305"
AMIL;"29309127000179";"326305"
AMIL ;?29309127000179 ;"326305"
AMIL ; 29309127000179 ;"326305"
AMIL  1;"29.309.127/0086-68";"326305"
Amil (AO);"29.309.127/0116-18";"326305"
AMIL (Porto Seguro);"";"326305"
AMIL (VF);"29.309.127/0116-18";"326305"
AMIL - ;"29.309.127/0116-18";"326305"
AMIL -; 29309127000179 ;"326305"
AMIL - 10346554;"29309127000179";"326305"
Amil - Amil Assistência Médica Internacional Ltda;"29.309.127/0073-43";"326305"
Amil - Amil Assistência Médica Internacional Ltda - Jessica Negris;"29.309.127/0073-43";"326305"
AMIL - BLUE;"";"326305"
AMIL - COOPERCIR;;"315240"
AMIL - COOPERCIR;"";"315240"
AMIL - DR FERNANDO;"29309127011618";"326305"
AMIL - DRA PATRICIA;"29.309.127/0116-18";"326305"
AMIL - LINHA BLUE LIFE;"29.309.127/0116-18";"326305"
AMIL - Linha Dix / Lincx / Medial / Blue;"29309127011618";"326305"
AMIL - LINHA LINCX;"29309127000179";"326305"
AMIL - LINHA LINCX Ortosport;;"326305"
AMIL - LINHA MEDIAL;"29309127000179";"326305"
Amil - Linha Next;"29.309.127/0001-79";"326305"
AMIL - LINHA ONE HEALTH;"29309127000179";"326305"
AMIL - LINHA ONE HEALTH;"29309127011618";"326305"
AMIL - LINHA ONE HEALTH ORTOSPORT;;"326305"
AMIL - LINHA ONE HEALTH ORTOSPORT;"29309127011618";"326305"
AMIL - MEDIAL;"29.309.127/0116-18";"326305"
AMIL ACQUA - AMIL INTERNACIONAL;"29.309.127/0116-18";"326305"
AMIL ASSIST. MEDICA INTERNACIONAL;;"001203"
AMIL ASSIST.MEDICA INTERNACIONAL (CK);;"001081"
AMIL ASSIST.MEDICA INTERNACIONAL - AMIL;;"000908"
AMIL ASSIST.MEDICA INTERNACIONAL - MEDIAL;;"000992"
AMIL ASSIST.MEDICA INTERNACIONAL- LINCX;;"000938"
AMIL ASSIST?NCIA M?DICA ;?01009546000176 ;"351881"
AMIL ASSISTÊNCIA MÉDICA; 01009546000176 ;"351881"
AMIL ASSISTENCIA MEDICA INTERNACIONAL;"29.309.127/0187-01";"326305"
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL (RIO DE JANEIRO);"233091127000179";"326305"
AMIL ASSISTENCIA MEDICA INTERNACIONAL LTDA;"03.991.125/0004-61";"326305"
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL LTDA (Rio de Janeiro);"23309127000179";"326305"
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S/;"29309127011618";"326305"
Amil Assistência Médica Internacional S/A;;"000010"
AMIL ASSISTENCIA MEDICA JOHNSON;;"326305"
AMIL BLUE;;"999999"
Amil Blue Life Dermatologista; 03991125000119 ;"412384"
Amil Dermatologista; 29309127000179 ;"326305"
AMIL dra. Cleide;;"326305"
AMIL EFJ;"29309127000179 ";"326305"
AMIL L.A.; 01009546000176;"351881"
AMIL M33;;"999999"
AMIL PLANOS;;"306401"
AMIL PLANOS;"";"326305"
AMIL PLANOS ;?03991125000119 ;"412384"
AMIL PLANOS ; 03991125000119 ;"412384"
AMIL PLANOS  30;"03.991.125/0004-61";"412384"
AMIL PLANOS - CARTEIRINHA INICIA COM 6;"29309127011618";"326305"
AMIL PLANOS - COMECA COM 6;"29309127011618";"326305"
AMIL PLANOS POR ADMINISTRAÇÃO LTDA;"29.309.127/0116-18";"412384"
AMIL REEMBOLSO;;"000000"
AMIL REEMBOLSO;;"64"
AMIL REEMBOLSO;"";"000005"
AMIL TRF;"29.309.127/0116-18";"326305"
Amil TRT;"29.309.127/0116-18";"326305"
Amil via Hospital;"";"326305"
AMIL VIT?RIA ;?03938708000186 ;"413232"
AMIL VITËRIA;á03938708000186 ;"413232"
AMIL VITÓRIA; 03938708000186 ;"413232"
AMIL _;"29309127007343";"323605"
Amil(Histórico);;"999999"
AMIL- LINHA DIX;;"306622"
AMIL- LINHA DIX;"29309127011618";"326305"
AMIL- LINHA LINCX;;"326933"
AMIL- LINHA LINCX;"29.309.127/0116-18";"326305"
AMIL- LINHA MEDIAL;"29.309.127/011618";"326305"
AMIL-10386793;"29309127000179";"326305"
AMIL-MEDIAL;"03.991.125/0001-19";"412384"
AMIL/ BLUE LIFE/ DIX/ MEDIAL- DRA SARA;"";"326305"
AMIL/BLUE LIFE/ADV/CEL/CLAM/CONS/GOLD/PL;"03991125/0004-61";"326305"
AMIL/MEDIAL - PROJETO COLUNA;"29.309.127/0116-18";"326305"
AMIL/MEDIAL/GLOBAL/CLAS/GOODYEAR/SIMILAR;"29309127011618";"326305"
AMMA Saúde;"";"000000"
AMMA SAUDE ; 29561723000141;"00009"
AMMP;;"88"
Amorsaúde;"000000000000000000";"000000"
AMPARA ASSIST?NCIA M?DICA PARA?SO LTDA ;?20946877000187 ;"325465"
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;"20946877000187 ";"325465"
AMPLIMED ASSISTENCIA M?DICA ;?66077884000190 ;"357871"
AMPLIMED ASSISTENCIA MÉDICA; 66077884000190 ;"357871"
AMR - ASSISTÊNCIA MÉDICA REGIONAL;"71737001000161 ";"414298"
AMS;;"47"
ANA COSTA;;"999999"
ANACONDA (OCUPACIONAL) - CASA ADELINO PRODUTOS ANACONDA;"111111111111111111";"000000"
ANACONDA - CASA ADELINO DE PRODUTOS ANACONDA LTDA.;"111111111111111111";"000000"
ANAGÉ;"21040097/0001-36";-
ANALYCLINICAS;"48.110.571/0001-05";"000000"
Angioesthetic Clinic;"26.878.434.0001/82";"326305"
ANIMA;"55804181000109 ";"322466"
Aninha;"111111111111111111";"111111"
ANJOS DA GUARDA;;"010010"
ANTHARES EMPREENDIMENTOS S/A; 47411038000110 ;"414379"
ANUTE E COSTA SERVICOS MEDICOS;"05.691.896/000-16";-
APAS;"";"000000"
APAS;"71565659000133 ";"406635"
APAS ;?00200720000109 ;"410608"
APAS ; 00200720000109 ;"410608"
APAS - ASSOCIA??O POLICIAL DE ASSIST?CIA ? SA?DE SJBVISTA ;?71753297000104 ;"408263"
APAS - ASSOCIAÇÃO POLICIAL DE ASSISTÊCIA À SAÚDE SJBVISTA;"71753297000104 ";"408263"
APAS - PRESIDENTE PRUDENTE;"00200720000109 ";"410608"
APAS - SOROCABA / VOTORANTIM;"71559272000174 ";"410128"
APAS - Via Hospital;"";"000000"
APAS ANDRADINA;"59766105000107 ";"406813"
APAS ASSOCIA??O POLICIAL DE ASSIST?NCIA A SA?DE RIB PRETO ;?72918287000144 ;"408794"
APAS ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE RIB PRETO ; 72918287000144 ;"408794"
APAS ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE RIBEIRÃO PRETO;"72918287000144 ";"408794"
APAS BAIXADA SANTISTA;"00034259000153 ";"410110"
APAS BAURU;"00147571000153 ";"406945"
APAS CONSULTA;"00.642.842/0001-47";"409405"
APAS DE DRACENA;"00665690000106 ";"408026"
APAS FERNANDOPOLIS;"00444803000135 ";"409413"
APAS VALE DO RIBEIRA;"00642842000147 ";"409405"
APAS- BARRETOS;"72916364000127 ";"407569"
APAS-BOTUCATU;"66493339000185 ";"408093"
APAS-JAU;"66491036000123 ";"408034"
APAS/MARILIA;"57272510000135 ";"406937"
APAS/OSASCO; 00780223000119 ;"408484"
APAS/PRESIDENTE VENCESLAU;"00648506000101 ";"411248"
APAS/PV; 00648506000101;"411248"
APASMON;"000000000000000000";"000000"
APCEF;"";"000001"
APCEF;"43202969000158";"123456"
APCEF SAÚDE;"";"000000"
APCEF SAÚDE;"43.202.969/0001-58";"000000"
APCEF/ONAN GOLD;"";"135790"
APECEF;;"000000"
APEOESP;"";"201505"
Apeoesp;"";"222222"
Apeoesp;"";"444444"
APEOESP - SINDICATO DOS PROFESSORES;"";"123456"
ÁPICE-ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.;"02811372000123 ";"400882"
APMP;"76106483000175 ";"412872"
APO- ASSIST?NCIA PERSONALIZADA ODONTOL?GICA ;?03512840000121 ;"411124"
APO- ASSISTÊNCIA PERSONALIZADA ODONTOLÓGICA;"03512840000121 ";"411124"
APOMAS;"00490723000116 ";"407097"
APOMAS;"74347675000148 ";"410616"
APPAI;"31240963000196 ";"382540"
APRIL - CORIS;"";"212121"
APROFEM;;"123456"
APROFEM;"";"000000"
APS;"00539806000152 ";"406708"
APS CONSULTORIA E ADMINISTRA?AO DE SERVI?OS DE SAUDE LTDA ;?65705485000164 ;"415341"
APS CONSULTORIA E ADMINISTRAÇAO DE SERVIÇOS DE SAUDE ; 65705485000164 ;"415341"
APS CONSULTORIA E ADMINISTRAÇAO DE SERVIÇOS DE SAUDE LTDA ; 65705485000164 ;"415341"
APUB ;?13100755000100 ;"343129"
APUB ; 13100755000100 ;"343129"
APUB SAÚDE;"13100755000100 ";"343129"
Arado;;"999996"
Araruna;;"000000"
Araruna;"11111111111111111";"000000"
Araruna;"111111111111111111";"000000"
ARCADA;"04143881000150 ";"415677"
ARCAM; 75202507000127 ;"340103"
ARCELOR MITTAL BRASIL S.A;"17469701000177";"000000"
ARCELORMITTAL 	;"";"342637"
ARCELORMITTAL;"17.469.701/006642";"345695"
ArcelorMittal;"17469701010482";"416070"
ARCELORMITTAL BRASIL;?27251974000102 ;"342637"
ARCELORMITTAL BRASIL S/A;"";"416070"
ARCELORMITTAL TUBARÃO COMERCIAL S.A;"27251974000102 ";"342637"
Area II - ISCMSP;;"217672"
ARGENTA BONOTTO;;"999999"
ARM ;?00743507000135 ;"352152"
ARM ; 00743507000135 ;"352152"
ARM ODONTOLOGIA;"00743507000135 ";"352152"
ARMCO;"";"000000"
AROS - CONSULTORIA E PARTICIPA??O LTDA ;?86986270000139 ;"406929"
AROS - CONSULTORIA E PARTICIPAÃ?O LTDA;á86986270000139 ;"406929"
AROS - CONSULTORIA E PARTICIPAÇÃO LTDA; 86986270000139 ;"406929"
ARRECIFES; 01549701000147 ;"402435"
ART-SPRAY;"07.391.621/0001-92";"999999"
ARTHUR LUNDGREN TECIDOS SA - CASAS PERNAMBUCANAS;;"001039"
AS BEN POLICIA MILIT;;"999999"
ASCAVI;"28573376000104 ";"412457"
ASCB; 33652645002020 ;"405621"
ASCOB - PARCERIA;"23.750.971/0001-54";-
ASEFE; 00449744000198 ;"332682"
ASES;"03638220000133 ";"411582"
ASETE;"";"111111"
ASFAL SA?DE ;?12317012000123 ;"393533"
ASFAL SAÚDE; 12317012000123;"393533"
ASFEB;"14799035000147 ";"335754"
ASFEMPR;"03616685/0001-93";-
ASFEPA;"05058037000194 ";"411434"
ASFUB;"";"222222"
ASG ODONTOLOGIA SISTEMA DE PREVENCAO ORAL LTDA;"02204517000128 ";"409006"
ASH - SAÚDE HOLAMBRA;;"36.078"
ASIVERDE;"";"000000"
ASL- ASSIT?NCIA A SA?DE LTDA ;?03716044000100 ;"411264"
ASL- ASSITÊNCIA A SAÚDE LTDA;"03716044000100 ";"411264"
ASMED-ASSOCIA??O M?DICA DO ENGENHO DE DENTRO LTDA ;?02160902000110 ;"409618"
ASMED-ASSOCIAÇÃO MÉDICA DO ENGENHO DE DENTRO LTDA; 02160902000110 ;"409618"
ASMMP/FAMEH; 15413313000149 ;"412724"
ASPARÁ;"";"419591"
ASPBMES;"01711582000187 ";"357910"
ASPBRAS ODONTOPLANO; 00759231000183 ;"405388"
ASPE - ASSIST?NCIA ? SA?DE DE PERNAMBUCO - SOCIEDADE SIMPLES ;?04171205000190 ;"412791"
ASPE - ASSISTÊNCIA À SAÚDE DE PERNAMBUCO - SOCIEDADE SIMPLES; 04171205000190;"412791"
ASPE - ASSOCIAÇÃO DOS FUNCIONÁRIOS DA PREFEITURA DE CUIABÁ;"";"000000"
ASPM - ASPM;;"000004"
ASPP;"76.586.916/0001-37";"000000"
Aspra - Parceria;"16679557000130";"000002"
ASSAP;"20306903/0001-02";"000000"
ASSEC;"13170410000122 ";"384704"
ASSEFAZ;;"111111"
ASSEFAZ;;"12"
ASSEFAZ;"00.628.107/0001-89";"346926"
ASSEFAZ;"23065111000181";"346926"
Assefaz; 00628107000189 ;"346926"
ASSEFAZ (VF);"00.628.107/0019-08";"346926"
ASSEFAZ - DR MARCIO BENEVENTO;-;-
ASSEFAZ - DR NELSON HILA GARCIA ;-;-
ASSEFAZ - DR VAGNER LUIZ FERREIRA;-;-
ASSEFAZ - FUNDAÇÃO ASSISTENCIAL DOS SERV;"00628107001908";"346926"
assefaz - NÃO ATENDEMOS;;"999999"
Assefaz - Via Hospital;"";"000000"
ASSEFAZ REEMBOLSO;"";"000006"
ASSEFAZ-FUNDAÇÃO ASSITENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;"00.628.107/0019-08";"346926"
ASSEMBLEIA /PRELEGIS;"";"000004"
ASSEME; 11544301000100 ;"332381"
ASSERVI;;"999999"
ASSIM - ASSIST?NCIA M?DICA INTEGRADA ;?31925548000176 ;"309222"
ASSIM - ASSISTÊNCIA MÉDICA INTEGRADA ;"31925548000176 ";"309222"
ASSIM - ASSISTÊNCIA MÉDICA INTEGRADA; 31925548000176;"309222"
ASSIM SAÚDE;"31925548000176 ";"309222"
ASSIMÉDICA;"03016500000100 ";"401846"
ASSIMEDICA P.A;;"000020"
ASSIMEDICA P.A;;"20"
ASSIMS;;"999999"
ASSISMED; 03514610000100 ;"411710"
ASSIST;"29167970000168 ";"309028"
ASSIST?NCIA M?DICA NOVE DE JULHO LTDA ;?04234059000103 ;"413267"
ASSIST?NCIA M?DICA REGIONAL ;?71737001000161 ;"414298"
ASSIST?NCIA M?DICA UNIVERSIDADE S?O FRANCISCO - USFMED ;?33495870000138 ;"338150"
ASSIST?NCIA M?DICO HOSPITALAR S?O LUCAS S/A ;?51502821000167 ;"323811"
ASSISTANCE - ADMINISTRADORA DE BENEFICIOS S/S LTDA;"00597363000156 ";"310301"
ASSISTANCE - ADMINISTRADORA DE PLANOS DE SAUDE S/C LTDA; 00597363000156;"310301"
ASSISTÊNCIA MÉDICA NOVE DE JULHO LTDA; 04234059000103;"413267"
ASSISTÊNCIA MÉDICA REGIONAL ; 71737001000161 ;"414298"
ASSISTENCIA MEDICA SAO PAULO SA;;"326305"
ASSISTÊNCIA MÉDICA UNIVERSIDADE SÃO FRANCISCO - USFMED; 33495870000138 ;"338150"
ASSISTÊNCIA MÉDICO HOSPITALAR SÃO LUCAS S/A; 51502821000167;"323811"
Assistencial;;"112121"
ASSISTENCIAL SANTA CLARA;"";"000000"
ASSITALIA;;"999999"
ASSOC FUNC PUB EST SPAULO  REEMBOLSO;;"000000"
ASSOC. AGENTES FISCAIS RENDA ESTADO SP - AFRESP;;"000917"
Assoc. Comercial;;"000000"
ASSOCIA??O BENEFICENTE DOS EMPREGADOS DA CEDRO E CACHOEIRA ;?19648054000196 ;"339989"
ASSOCIA??O BENEFICENTE FNV ;?60878576000188 ;"415049"
ASSOCIA??O DE SA?DE HOLAMBRA ;?59007799000190 ;"360783"
ASSOCIA??O DO MINIST?RIO P?BLICO DO RIO GRANDE DO SUL ;?87027595000157 ;"336441"
ASSOCIA??O DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP ;?62635990000191 ;"317632"
ASSOCIA??O DOS SERVIDORES DA UFMG ;?16847592000111 ;"410187"
ASSOCIA??O EVANGELICA BENEFICENTE DE LONDRINA ;?78613841000161 ;"326755"
